num_vertices,num_faces,bounding_box
2208,4366,[1.         0.45489427 0.38367847]
1868,3672,[1.         0.19278796 0.1356836 ]
9502,18523,[1.         0.31659162 0.22169298]
69,116,[1.         0.52822239 0.50979934]
2252,4476,[1.         0.51769315 0.41085623]
7504,15060,[1.         0.38984959 0.31052685]
2300,4546,[1.         0.28793647 0.20416331]
22837,45584,[1.         0.45522131 0.47592804]
3504,6901,[1.         0.80265767 0.35391429]
655,1224,[1.         0.35766457 0.31302368]
398,1044,[1.         0.51417079 0.38123415]
1964,3916,[1.         0.56440985 0.52360839]
21616,38066,[1.         0.27391207 0.22413567]
5891,11780,[1.         0.78594502 0.56247405]
961,1972,[1.         0.41395765 0.27303732]
14108,28504,[1.         0.68690564 0.42124862]
4353,8640,[1.         0.80238579 0.35473323]
166,320,[0.58770737 0.86478842 1.        ]
1316,2333,[0.70953684 1.         0.13795368]
531,1300,[0.50218632 1.         0.85459684]
87,145,[0.85645895 1.         0.45682842]
699,1314,[0.77366737 0.92967368 1.        ]
1137,2234,[0.19743579 0.73229053 1.        ]
87,200,[0.86212105 1.         0.45677053]
136,200,[1.         0.95740632 0.28739053]
336,684,[0.39059158 1.         0.94180842]
2689,5410,[0.88262632 0.76035158 1.        ]
14129,28358,[0.78780737 1.         0.43988211]
12443,21950,[1.         0.78852884 0.26220182]
531,848,[1.         0.75000606 0.20471395]
11605,22944,[1.         0.66596291 0.14904018]
3924,7780,[1.         0.79627336 0.5889973 ]
48061,94497,[1.         0.89905006 0.36878244]
4313,8494,[1.         0.83597102 0.51901621]
27338,54523,[1.         0.6188733  0.66463496]
1699,3314,[1.         0.65678392 0.38888857]
31349,60638,[1.         0.37636041 0.23741731]
586,1108,[1.         0.83823267 0.40652603]
12963,26647,[1.         0.59967269 0.23916151]
814,1508,[1.         0.86612491 0.26587591]
43899,51962,[1.         0.8628928  0.31446204]
22803,42664,[1.         0.69825554 0.23443656]
3870,7692,[1.         0.93239806 0.30641824]
880,1678,[1.         0.81645026 0.52533126]
27047,53857,[1.         0.49925395 0.21547395]
39869,79652,[1.         0.94524803 0.33838353]
14352,28992,[1.         0.814338   0.29347916]
11731,16509,[1.         0.89131773 0.3747509 ]
6040,11464,[0.43048421 1.         0.06361316]
456,894,[0.54763474 1.         0.27046842]
676,1314,[0.17249158 1.         0.50385789]
858,1617,[0.52283684 1.         0.09555474]
128,252,[0.87624737 1.         0.08328947]
1724,3468,[0.47550737 1.         0.06754421]
871,1772,[0.48487579 1.         0.04422768]
1336,2620,[0.61497263 1.         0.19948211]
16,16,[0.57142842 1.         0.02857147]
2691,4338,[0.47562737 1.         0.10104526]
716,1328,[0.54948737 1.         0.09971789]
31,29,[0.5        1.         0.03333337]
2447,4410,[0.48563158 1.         0.11596737]
48,72,[0.55855053 1.         0.05540789]
68,132,[0.31092632 1.         0.08328947]
128,183,[0.9747     1.         0.14007368]
716,1446,[0.57012211 1.         0.10568632]
124,252,[0.62185263 1.         0.08328947]
88,98,[0.47456526 1.         0.06898947]
18,18,[0.01297242 1.         0.52952316]
456,894,[0.54763474 1.         0.27046842]
16,16,[0.57142842 1.         0.02857158]
522,988,[0.54676105 1.         0.09999789]
68,132,[0.31092632 1.         0.08328947]
1724,3468,[0.47550737 1.         0.06754421]
6044,11464,[0.43048421 1.         0.06361263]
867,1772,[0.48487579 1.         0.04422737]
676,1314,[0.17249158 1.         0.50385789]
2447,4410,[0.48563158 1.         0.11596737]
858,1617,[0.52283684 1.         0.09555474]
2695,4338,[0.47562737 1.         0.10104526]
716,1328,[0.54948737 1.         0.09971789]
716,1446,[0.57012211 1.         0.10568632]
1336,2620,[0.61497263 1.         0.19948211]
128,252,[0.87624737 1.         0.08328947]
124,252,[0.62185263 1.         0.08328947]
3232,6406,[1.         0.97760316 0.19555684]
128,183,[0.9747     1.         0.14007368]
3724,7332,[0.76955684 1.         0.10204737]
2018,3790,[1.         0.99788316 0.09950526]
336,564,[0.70140737 1.         0.17428316]
336,564,[0.70140737 1.         0.17428316]
1974,4084,[1.         0.95843789 0.11722421]
300,575,[1.         0.89398526 0.08421895]
5506,32619,[0.46330508 0.4555624  1.        ]
1200,7752,[0.99999338 1.         0.76258274]
36,204,[1.        0.9077259 0.5764314]
8313,37275,[0.99595148 1.         0.85956086]
651,3894,[0.56338028 0.56338028 1.        ]
1800,11628,[0.68295092 0.68295092 1.        ]
5561,33351,[0.86789288 0.78462817 1.        ]
1609,9414,[0.58555178 0.58465087 1.        ]
168,1128,[1.         1.         0.73780488]
4790,30513,[0.57320344 1.         0.68365362]
192,1362,[1.         0.99999546 0.71153846]
1296,8244,[0.80712407 0.80712407 1.        ]
240,1572,[0.45239423 1.         1.        ]
444,2754,[0.77862851 1.         0.98961325]
169,1329,[0.70237099 0.70237099 1.        ]
24,132,[1.         1.         0.30165077]
5390,33603,[0.97729176 1.         0.89835312]
7993,50202,[0.94625816 0.9028056  1.        ]
5653,33699,[0.6091042 0.6091042 1.       ]
1808,11316,[1.         1.         0.24905821]
4230,6966,[1.         0.44362256 0.35952655]
3912,6524,[1.         0.44631118 0.271471  ]
3952,6672,[1.         0.31854012 0.29438596]
3760,6304,[1.         0.36786875 0.22350379]
3048,5286,[1.         0.57309076 0.37661452]
4264,7130,[1.         0.35086439 0.34653681]
4006,6628,[1.         0.65466712 0.46300711]
4062,6838,[1.         0.52433996 0.35098758]
3206,5549,[1.         0.51464104 0.36168791]
3810,6412,[1.         0.45096199 0.28300919]
3774,6348,[1.         0.41509606 0.3762628 ]
3934,6652,[1.         0.51913733 0.3491426 ]
3712,6334,[1.         0.39822095 0.346122  ]
3374,5704,[1.         0.43479108 0.38716374]
3928,6526,[1.         0.47051994 0.4479314 ]
3898,6672,[1.         0.34817209 0.39695103]
5046,8098,[1.         0.39447013 0.28944922]
4122,6824,[1.         0.59219971 0.44145675]
4380,7318,[1.         0.42776566 0.42099835]
3427,5798,[1.         0.41304607 0.6646397 ]
701,1376,[1.         0.53200381 0.53205492]
3661,7472,[0.69130546 0.69192866 1.        ]
7694,15316,[1.         0.65386186 0.65391728]
5097,9970,[1.         0.54057373 0.3486556 ]
1322,2632,[1.         0.717705   0.71772564]
3767,7212,[1.         0.8911192  0.89126705]
9578,18962,[1.         0.60327737 0.60323304]
3435,6750,[1.         0.84031653 0.82988845]
4185,8434,[1.         0.84303658 0.84342886]
4282,8487,[1.         0.68533695 0.52770901]
11136,26964,[1.         0.68281645 0.68269689]
23655,46682,[1.         0.60705062 0.60783336]
1128,2240,[1.         0.64925805 0.6498978 ]
3339,6672,[1.         0.64638301 0.6504873 ]
15152,30052,[1.         0.51113319 0.51107898]
14464,28920,[1.         0.89216555 0.90266264]
1819,3632,[1.         0.5627227  0.56818724]
17582,34872,[1.         0.53101962 0.53005213]
8300,16560,[1.         0.60672322 0.61043807]
440,816,[1.         0.62349987 0.62434203]
4440,8828,[0.37565895 1.         0.41282316]
1622,3232,[0.11497158 1.         0.11497053]
361,696,[0.1571 1.     0.1571]
5584,11058,[0.10458632 1.         0.09606105]
778,1528,[0.12581368 1.         0.12581368]
54,88,[0.07812526 1.         0.18554737]
78,120,[0.27347895 1.         0.23684   ]
46,76,[0.15384632 1.         0.36162   ]
5652,11300,[1.         0.98418257 0.25051744]
6519,12656,[1.         0.93491171 0.37906491]
1524,3000,[1.         0.94713656 0.25122964]
408,700,[1.         0.97242241 0.17334978]
1566,3092,[1.         0.88148128 0.33034721]
5652,11300,[1.         0.98081733 0.25046633]
4230,8368,[1.         0.88051626 0.24164337]
16468,32776,[0.9071106  1.         0.17567269]
3019,5960,[1.         0.97677003 0.35509998]
12793,25604,[0.99303832 1.         0.16576636]
220,868,[1.         0.9934562  0.25502845]
9290,18568,[0.99688872 1.         0.16343262]
1826,3624,[1.         0.96931423 0.34146328]
3174,6336,[0.90635105 1.         0.18187932]
696,1364,[1.         0.87063065 0.36796514]
15152,30220,[0.99995636 1.         0.16474765]
2711,5414,[1.         0.93609008 0.28796988]
2804,5504,[0.99616469 1.         0.15379345]
140,280,[1.         0.98259506 0.20039366]
2198,4312,[0.83971143 1.         0.20828165]
3655,7019,[1.         0.34714787 0.10618924]
27250,50370,[1.         0.26855926 0.04758532]
8888,17465,[1.         0.3676299  0.05760159]
270,448,[1.         0.29620961 0.09564261]
1621,2871,[1.         0.31744766 0.06595059]
1062,1998,[1.         0.34625946 0.118393  ]
6143,12087,[1.         0.41759027 0.10915408]
32762,64993,[1.         0.35102496 0.12644794]
1481,2575,[1.         0.28820363 0.11199943]
799,1397,[1.         0.31346006 0.15167511]
4694,9011,[1.         0.39185472 0.10208629]
8636,16932,[1.         0.30606392 0.06706942]
3016,5657,[1.         0.42235797 0.16304161]
24669,47406,[1.         0.25868454 0.09073702]
1864,3600,[1.         0.32301789 0.10883499]
10265,20236,[1.         0.2796682  0.05401136]
1033,1932,[1.         0.35865771 0.0909001 ]
5530,11008,[1.         0.39239112 0.02864468]
7614,13769,[1.         0.38610364 0.21632855]
29451,58093,[1.         0.3297006  0.11816068]
833,1654,[1.         0.56482613 0.15758884]
5308,10332,[1.         0.41660895 0.11792162]
4462,8734,[1.         0.36147687 0.12686137]
364,704,[1.         0.48436925 0.12181534]
302,572,[1.         0.5496245  0.14058121]
4978,10640,[1.         0.59188882 0.15335556]
16140,31917,[1.         0.53618186 0.17023384]
3278,6484,[1.         0.5536883  0.20557661]
2121,4229,[1.         0.29111884 0.07379143]
293,558,[1.         0.58078308 0.15983362]
3835,7618,[1.         0.38999233 0.16111363]
4651,9270,[1.         0.54211154 0.15806716]
10850,21237,[1.         0.50493241 0.10339574]
1995,3772,[1.         0.21525098 0.05917425]
3338,6668,[1.         0.58662397 0.1827961 ]
300,564,[1.         0.39170332 0.09812349]
17250,34169,[1.         0.5084738  0.15299366]
11855,23596,[1.         0.31747357 0.1317467 ]
735,1394,[1.         0.62557198 0.09896662]
28389,56646,[1.         0.52369745 0.18060369]
1238,2428,[1.         0.61953895 0.10854842]
1094,1945,[1.         0.695      0.11975053]
1460,2464,[1.         0.6685     0.14025053]
91,130,[0.25649579 0.64643895 1.        ]
4950,10198,[0.17834842 0.71501789 1.        ]
2162,4300,[1.         0.46516421 0.14971579]
1064,2088,[1.         0.55860632 0.09420947]
364,704,[0.13033579 0.57947263 1.        ]
15658,31098,[0.15021053 0.57784947 1.        ]
18283,36520,[0.21644421 0.75978947 1.        ]
293,560,[0.17363263 0.62325579 1.        ]
1181,2291,[1.         0.49785368 0.14768842]
1085,3260,[0.139      0.52825158 1.        ]
370,668,[1.         0.13283053 0.55036842]
460,828,[1.         0.13885158 0.98459895]
502,922,[1.         0.12053684 0.56162526]
4651,9270,[1.         0.73282947 0.18374632]
1847,3500,[0.16836    0.69569789 1.        ]
13440,26860,[1.         0.70428421 0.25576105]
767,1500,[0.09523474 0.41744    1.        ]
1414,2538,[0.07392    0.29740947 1.        ]
1070,1832,[0.079      0.14724947 1.        ]
3285,6538,[1.         0.32789579 0.04925684]
1190,2302,[0.05307895 0.22400526 1.        ]
140,252,[0.04596526 0.22486211 1.        ]
7722,15199,[0.0493     0.24132526 1.        ]
438,640,[1.         0.26305895 0.09393368]
485,910,[0.17859684 0.25775368 1.        ]
3329,6623,[1.         0.12864632 0.03719158]
1305,2216,[0.04341263 0.19688    1.        ]
2003,3774,[0.05593263 0.22955895 1.        ]
2823,5500,[0.03774842 0.09754947 1.        ]
630,1160,[1.         0.06474737 0.27346105]
550,926,[1.         0.06910947 0.28916211]
502,932,[0.17452526 0.07196947 1.        ]
27911,55732,[1.         0.52199158 0.32161263]
280,550,[0.17152421 0.32869368 1.        ]
879,1721,[1.         0.08785263 0.24376316]
7929,15855,[0.58013579 1.         0.68427368]
8524,17044,[0.42314999 1.         0.44070294]
799,1710,[1.         0.39381053 0.52319789]
114,204,[0.81130842 1.         0.39531579]
1546,2878,[0.46381474 1.         0.53480526]
1521,2828,[0.42283263 1.         0.52669158]
421,837,[0.37864105 1.         0.56722737]
8471,16938,[0.45446655 1.         0.37739651]
6191,12378,[0.89858947 1.         0.34662842]
2248,4466,[0.17427053 0.11571158 1.        ]
6038,12072,[1.         0.86940421 0.25069053]
1557,3110,[0.57608    0.33863474 1.        ]
25001,49998,[0.34705789 0.28261158 1.        ]
1198,2392,[0.87722421 0.79820316 1.        ]
1547,3090,[0.48881263 0.36024632 1.        ]
43386,86361,[0.34372105 1.         0.36373053]
386,768,[0.78963579 0.38983684 1.        ]
7112,14220,[0.78331725 1.         0.40268352]
1925,3846,[0.23228947 0.16273789 1.        ]
7314,14624,[0.47027238 1.         0.37765971]
43386,86361,[0.34372105 1.         0.36373053]
25001,49998,[0.34705789 0.28261158 1.        ]
1546,2878,[0.46381474 1.         0.53480526]
1521,2828,[0.42283263 1.         0.52669158]
386,768,[0.78963579 0.38983684 1.        ]
6038,12072,[1.         0.86940421 0.25069053]
6191,12378,[0.89858947 1.         0.34662842]
799,1710,[1.         0.39381053 0.52319789]
421,837,[0.37864105 1.         0.56722737]
1198,2392,[0.87722421 0.79820316 1.        ]
1023,2042,[0.92973053 0.67379474 1.        ]
114,204,[0.81130842 1.         0.39531579]
7929,15855,[0.58013579 1.         0.68427368]
1557,3110,[0.57608    0.33863474 1.        ]
1925,3846,[0.23228947 0.16273789 1.        ]
1547,3090,[0.48881263 0.36024632 1.        ]
2248,4466,[0.17427053 0.11571158 1.        ]
1009,1998,[1.         0.46038    0.70021368]
958,1500,[0.80609579 0.55843684 1.        ]
2388,4284,[0.74170632 0.44539895 1.        ]
562,1120,[0.91270632 0.44442316 1.        ]
2063,3414,[0.87330211 0.48803263 1.        ]
1264,2574,[0.88171053 0.81059474 1.        ]
1400,2653,[0.50604421 0.86755368 1.        ]
5814,11562,[0.94993474 0.69535053 1.        ]
5092,10190,[0.86213895 0.70853368 1.        ]
426,848,[0.91443368 0.91966105 1.        ]
1002,2000,[0.79967895 0.69074211 1.        ]
8815,17640,[0.80501263 0.48371053 1.        ]
2029,4000,[0.67336105 1.         0.91341263]
1002,2000,[0.73992421 0.71542421 1.        ]
1256,2500,[0.56165053 1.         0.78537158]
13309,25129,[1.         0.27496774 0.17683468]
4498,8476,[1.         0.81313636 0.35602369]
26850,51403,[1.       0.796432 0.273958]
5207,7990,[1.         0.78021325 0.29573716]
1362,2668,[1.         0.7670096  0.29066024]
496,923,[1.         0.70538607 0.3609357 ]
10985,20598,[1.         0.81765112 0.25781743]
4496,8027,[1.         0.51036054 0.79645361]
1464,3406,[1.         0.75244192 0.27099474]
8944,16677,[1.         0.76639882 0.2643921 ]
2740,5138,[1.         0.30154043 0.65002992]
35044,70103,[1.         0.92544843 0.19238111]
2770,4664,[1.         0.76286776 0.31767968]
17617,34164,[1.         0.85742172 0.26087988]
222,368,[0.86495887 1.         0.30688264]
2688,4000,[1.         0.73086288 0.33447831]
748,1325,[1.         0.75813762 0.18929069]
5429,8498,[1.         0.75903865 0.25179213]
1176,2060,[1.         0.69301328 0.17179092]
1976,3391,[1.         0.50122105 0.37828238]
1058,1882,[0.19672105 0.27868842 1.        ]
1066,2094,[0.25421684 0.36660105 1.        ]
7105,14168,[1.         0.25904947 0.14914105]
8547,17806,[0.76522316 0.30088105 1.        ]
18385,34708,[0.76732105 0.32835579 1.        ]
58392,116773,[0.93719474 0.23818421 1.        ]
2046,3460,[1.         0.25002421 0.66051053]
1362,2668,[0.78896842 0.28870526 1.        ]
1006,2008,[0.87039895 0.19182105 1.        ]
222,368,[1.         0.30131053 0.85757053]
1610,2952,[0.83000632 1.         0.28015789]
1644,2996,[1.         0.78210421 0.38568316]
510,844,[0.76552211 1.         0.21184632]
396,682,[1.         0.58510632 0.24551895]
1176,2060,[1.         0.67822842 0.20955053]
1162,2056,[1.         0.77276842 0.23717158]
598,1004,[0.69761579 1.         0.16163684]
7818,14166,[0.77654    0.30270105 1.        ]
2744,5138,[0.66732842 0.26816947 1.        ]
675,1270,[0.87734316 1.         0.27940947]
6136,10656,[0.81817474 0.47362316 1.        ]
1545,2438,[0.85549789 1.         0.28918211]
1545,2709,[1.         0.29312632 0.85805158]
7851,14167,[0.77653895 1.         0.30269368]
3218,6448,[1.         0.30938632 0.80461158]
665,1242,[0.80224105 0.57846737 1.        ]
294,578,[0.20796947 0.23823895 1.        ]
496,923,[0.74139474 0.31156211 1.        ]
439,900,[0.83256947 0.26106842 1.        ]
267,524,[0.83214632 0.26042737 1.        ]
1201,2319,[0.75307474 0.27489789 1.        ]
46252,90161,[0.99528608 1.         0.56372493]
10194,19412,[0.96947452 1.         0.57320101]
495,768,[1.         0.78307616 0.62859106]
1681,3304,[1.         0.96029559 0.37620363]
28394,62973,[0.97929666 1.         0.51212175]
8465,16975,[0.99147494 0.96232782 1.        ]
34797,66144,[0.98502101 1.         0.58486361]
27486,50407,[1.         0.92825355 0.50831766]
25131,46904,[1.         0.6834394  0.86626029]
5500,10208,[1.         0.59970495 0.40600767]
2852,5384,[1.         0.8003273  0.83816814]
15615,68220,[1.         0.98850149 0.42519022]
1216,2109,[1.         0.95913635 0.75325244]
6349,13009,[0.98667544 1.         0.46328065]
1034,2048,[1.         0.93511952 0.50414535]
17182,40698,[1.         0.99763655 0.50459454]
28000,55333,[1.         0.82170936 0.5029347 ]
8511,15800,[1.         0.47929105 0.45059882]
7306,15272,[0.98043426 1.         0.78311235]
1718,2800,[0.99405652 1.         0.42738127]
35,48,[1.         0.29906211 0.38508947]
14312,27982,[1.         0.56687895 0.96988421]
1686,2832,[1.         0.44948526 0.73409474]
966,1275,[1.         0.14764947 0.48153053]
722,1207,[1.         0.32084105 0.98067684]
2380,4236,[1.         0.20954526 0.90909053]
22,26,[0.66666632 1.         1.        ]
119,184,[1.     0.3375 0.5   ]
220,240,[1.         0.34375474 0.48490105]
356,532,[0.59350947 0.17494947 1.        ]
411,906,[0.65979368 0.46391789 1.        ]
2086,2283,[0.68725579 0.43431263 1.        ]
284,417,[0.58264421 0.46280947 1.        ]
20611,35236,[1.         0.26707053 0.70035158]
1455,2370,[1.         0.47517053 0.46342842]
762,1502,[0.72585579 1.         0.92032526]
221,328,[0.69008842 0.52597684 1.        ]
905,1696,[1.         0.23332737 0.53939368]
2557,5111,[1.         0.75625474 0.78045368]
2385,5116,[1.         0.84231368 0.75164316]
200,216,[1.         0.38147368 0.55794737]
607,703,[1.         0.48364421 0.9661    ]
284,417,[0.58264421 0.46280947 1.        ]
4748,8520,[1.         0.69051684 0.76842526]
813,1587,[1.         0.84235263 0.72742842]
25,22,[0.68973368 0.60928421 1.        ]
5243,30981,[0.6777792  0.79171163 1.        ]
2093,13146,[0.56998506 0.75373086 1.        ]
5284,31161,[0.6997992  0.77131911 1.        ]
5276,31296,[0.78598827 0.68880217 1.        ]
5161,30666,[0.63478255 0.84329211 1.        ]
1166,6816,[0.57231945 0.75031662 1.        ]
6146,36864,[0.94040609 0.93774048 1.        ]
4296,24864,[0.70651624 1.         0.86079277]
3224,19092,[0.78899759 0.80732951 1.        ]
6211,37047,[0.83061258 0.93331883 1.        ]
1919,11118,[0.67149762 0.8806032  1.        ]
7968,47469,[0.85144043 0.80184404 1.        ]
5167,30336,[0.49170117 0.77914231 1.        ]
4438,26382,[0.73689077 0.7827083  1.        ]
3490,19104,[0.87147021 0.80485899 1.        ]
2885,17058,[0.53760206 0.62919483 1.        ]
4769,28086,[0.7258586  0.89417896 1.        ]
959,5589,[0.75410427 0.84441803 1.        ]
1334,8028,[0.80680635 0.86709662 1.        ]
2319,13848,[0.75326622 0.62709953 1.        ]
1426,2790,[0.92000947 1.         0.97204737]
1884,3604,[0.68721579 1.         0.83857474]
1543,2688,[0.70325158 1.         0.84535579]
1984,3747,[0.70164737 1.         0.84849263]
1996,3564,[0.56870632 0.77862842 1.        ]
2687,4801,[0.98087684 1.         0.92217789]
484,919,[0.60622526 1.         0.77289263]
906,2070,[0.58140316 1.         0.77508526]
9166,18008,[0.60706737 1.         0.75896316]
26749,51801,[0.72752842 1.         0.81365789]
2034,3946,[1.         0.96630737 0.97436105]
882,1646,[0.74898211 1.         0.86047895]
664,1197,[0.76032737 1.         0.96428105]
7896,15788,[0.71031684 1.         0.87272211]
216,426,[0.55098842 1.         0.71595474]
17358,34712,[0.58781474 1.         0.79871684]
692,1380,[0.75622316 1.         0.94255263]
193,384,[0.77764421 1.         0.95719158]
1173,2260,[0.64696632 1.         0.81996632]
314,615,[0.86666632 0.98333368 1.        ]
270,536,[0.75872526 1.         0.90493579]
295,557,[0.68493158 1.         0.75342421]
186,360,[0.73661368 1.         0.79026105]
1884,3604,[0.72432842 1.         0.91589158]
263,465,[0.68078105 1.         0.93364737]
17666,35328,[0.84043368 1.         0.69536632]
3009,5951,[0.62218757 1.         0.63415405]
977,1852,[0.60876105 1.         0.63788   ]
2991,5728,[0.72177789 1.         0.93598947]
9843,19492,[1.         0.90120842 0.72623053]
5641,10543,[0.51867474 1.         0.65414   ]
472,888,[0.27256105 1.         0.18128842]
450,837,[0.26345158 1.         0.20181158]
467,870,[0.26041684 1.         0.20828947]
471,882,[0.30643789 1.         0.18976526]
443,830,[0.27018421 1.         0.26408737]
474,890,[0.26123579 1.         0.27374632]
473,862,[0.28857789 1.         0.22020632]
1250,2500,[0.34534211 0.28091053 1.        ]
577,1018,[0.24630632 1.         0.15773053]
458,853,[0.27352947 1.         0.22941263]
1871,8364,[0.26174977 1.         0.19138865]
1025,1864,[0.28106842 1.         0.16162526]
2012,3012,[0.31360737 0.18160737 1.        ]
2537,4049,[0.18039579 0.29316421 1.        ]
2344,4253,[0.32618737 1.         0.20027263]
1962,3615,[0.22414316 1.         0.16801158]
498,919,[0.28602211 1.         0.25676737]
469,869,[0.27997053 1.         0.19024526]
1636,3254,[0.40561474 1.         0.21790211]
7401,14776,[0.37409158 0.24117053 1.        ]
12180,24200,[0.52447053 1.         0.23351368]
9061,18110,[0.39188421 0.20688    1.        ]
2012,3012,[0.31580526 1.         0.31551263]
5647,10737,[0.40389263 1.         0.17338737]
676,1302,[0.32359158 1.         0.18879789]
12758,25506,[0.36899263 1.         0.50442842]
2244,3460,[0.34987263 1.         0.39380526]
4677,8559,[0.34838737 1.         0.22122   ]
3964,7707,[0.53934632 1.         0.20379158]
17342,34666,[0.18339474 1.         0.30892632]
2001,3012,[0.22410737 1.         0.37799789]
2996,5954,[0.28766105 1.         0.22602211]
10694,20512,[0.36895895 1.         0.23611789]
10333,18860,[0.31696632 1.         0.20841053]
445,730,[0.30732737 1.         0.22530737]
1290,2576,[0.51159368 1.         0.18608737]
16776,33324,[0.40475158 1.         0.19600526]
747,1430,[0.39698409 1.         0.26290623]
521,935,[0.35962632 1.         0.22534737]
533,998,[0.30750211 1.         0.19905474]
894,1627,[0.36098211 1.         0.40522421]
495,839,[0.34178105 1.         0.16536632]
3581,6988,[0.34891474 1.         0.24068737]
120,208,[0.28741053 1.         0.17799158]
728,1396,[0.31764737 1.         0.18705895]
506,1748,[0.3275     1.         0.18250211]
476,1698,[0.2845     1.         0.31274842]
435,856,[0.34846421 1.         0.50062737]
2640,5476,[0.38689684 1.         0.19784737]
1059,2001,[0.30852632 1.         0.17428526]
16052,32042,[0.34234211 1.         0.13467053]
614,1094,[0.488      1.         0.21024947]
745,1413,[0.30663053 1.         0.14145263]
1003,1702,[0.27571368 1.         0.16041789]
1196,2308,[0.40084316 1.         0.21968   ]
660,1070,[0.33441079 1.         0.32496572]
708,1288,[0.42924947 1.         0.1785    ]
116,185,[0.37371895 1.         0.32437158]
14603,29202,[0.33392105 1.         0.1681    ]
10735,21422,[0.38527263 1.         0.16544632]
15088,29520,[0.28722526 1.         0.15668737]
8520,16916,[0.44169263 1.         0.21482526]
11090,22190,[0.38782737 1.         0.14890211]
3618,7124,[0.92065053 1.         0.37743368]
441,826,[0.27224316 1.         0.16102632]
493,919,[0.28648632 1.         0.29459474]
375,564,[0.3135     1.         0.16574947]
1618,3128,[0.56622632 1.         0.47488737]
1863,3352,[0.29936316 1.         0.17753789]
309,526,[0.27664526 1.         0.15670842]
1022,1773,[0.46089263 1.         0.45402842]
124,264,[0.52       1.         0.20010526]
450,837,[0.26735895 1.         0.23437263]
8621,17298,[0.38279789 1.         0.52086947]
2244,3460,[0.22347789 1.         0.39108632]
22608,44050,[0.28228473 1.         0.42674383]
4049,7763,[0.43778526 1.         0.17876421]
2010,3012,[0.16913789 1.         0.28620947]
4657,19582,[0.40152    1.         0.35032737]
6540,12936,[0.37012737 0.21142316 1.        ]
148,228,[0.28486632 1.         0.21127579]
477,922,[0.33432421 1.         0.22034211]
1224,2338,[0.33237474 1.         0.34604421]
662,1236,[0.37749053 1.         0.2177    ]
3071,6056,[0.27240947 0.24812421 1.        ]
3238,5910,[0.34735895 1.         0.29649474]
349,694,[0.36182316 1.         0.16213053]
210,404,[0.62898421 1.         0.60413368]
2640,5476,[0.33154421 1.         0.21376105]
1290,2576,[0.55936526 1.         0.16650211]
409,760,[0.28486632 1.         0.20517579]
1739,3420,[0.28225263 1.         0.21127579]
689,1320,[0.28346    1.         0.17078421]
9272,17495,[0.37885789 1.         0.49142947]
955,1835,[0.31743053 1.         0.28097579]
947,1862,[0.76355895 1.         0.49421263]
178,608,[0.91869158 1.         0.16922421]
12911,25449,[0.95191474 1.         0.21058737]
10576,21105,[0.94945474 1.         0.19618105]
17639,34584,[1.         0.98773158 0.20880421]
10473,20895,[0.95314842 1.         0.17632632]
9660,19219,[1.         0.97847158 0.18240105]
6368,12712,[0.87322    1.         0.25053895]
7015,15968,[0.91186526 1.         0.25988316]
15201,33262,[0.98067895 1.         0.37124   ]
18147,35711,[0.95388632 1.         0.19622947]
14796,28681,[0.92187789 1.         0.20041579]
13022,24954,[0.92656842 1.         0.34069263]
429,854,[0.91300105 1.         0.28161789]
747,1430,[0.99187263 1.         0.19198737]
529,992,[0.86133053 1.         0.19979158]
408,812,[0.86741895 1.         0.23466105]
2841,5445,[1.         0.98032    0.24997053]
480,956,[0.94790737 1.         0.13202105]
559,880,[0.92179474 1.         0.18593263]
551,831,[0.74727368 1.         0.20170316]
716,1352,[0.92522211 1.         0.17622421]
589,874,[0.81424421 1.         0.32821474]
598,880,[0.88763474 1.         0.43806737]
568,857,[0.94110211 1.         0.18732   ]
540,840,[0.89287895 1.         0.18802316]
574,862,[0.93867579 1.         0.16806211]
583,886,[0.80843368 1.         0.16452105]
518,897,[0.93922737 1.         0.15397368]
7970,15874,[0.74341684 1.         0.29470211]
10589,20349,[0.73051789 1.         0.16928316]
8077,16126,[0.75498737 1.         0.17373263]
9698,19304,[1.         0.99546526 0.24044421]
11806,23197,[0.72894737 1.         0.229     ]
16082,31221,[0.68332105 1.         0.15193474]
16870,35325,[0.96859474 1.         0.16336632]
7303,14424,[0.55751579 1.         0.81564211]
372,721,[0.40506737 0.92014526 1.        ]
12410,24119,[0.69357684 1.         0.14277474]
402,728,[0.38338632 1.         0.62455158]
1068,2092,[0.43899579 1.         0.34136   ]
481,895,[0.26308737 1.         0.33944737]
470,880,[0.26272105 1.         0.33603474]
478,899,[0.30359789 1.         0.53034211]
8798,17547,[0.32683368 0.37488421 1.        ]
16267,32530,[0.37394526 0.84313474 1.        ]
1092,2132,[0.30292632 1.         0.91396632]
313,578,[1.         0.79968459 0.3302753 ]
6502,12876,[0.93419068 1.         0.4863894 ]
2572,5046,[1.         0.66378635 0.64197813]
3248,5280,[1.         0.81773    0.61475178]
5090,9732,[1.         0.80588955 0.51002685]
1384,2556,[1.         0.70795892 0.3761388 ]
253,458,[0.94085128 1.         0.30201615]
2572,5046,[1.         0.64351741 0.65294302]
312,570,[0.94714763 1.         0.20620365]
286,528,[1.         0.5421729  0.18737451]
2022,3110,[1.         0.9120468  0.30155314]
1551,2818,[1.         0.94323278 0.4667378 ]
314,572,[1.         0.57726241 0.37071922]
